chunk,path,gap_after,script_text,whisper_text,whisper_sim,el_text,el_sim,el_whisper_sim,chars,expected_len,raw_len,trimmed_len,speech_len,len_status,speech_ratio,longest_gap,silence_padded,repeat,inflation,dup_ratio,status,reason,pacing_status,max_gap,awkward_gaps,rushed_spans,word_gaps
00,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-000-narration.wav,narration,By eleven the shop's bench was full.,"By 11, the shop's bench was full.",1.0,,,,36,2.25,2.56,2.56,2.14,OK,0.8354,0.42,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
02,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-002-narration.wav,narration,"It started as it always started, one after another, the door letting in a threa…","It started as it always started, one after another, the door letting in a threa…",1.0,,,,294,18.38,17.08,17.08,14.78,OK,0.8651,1.42,False,False,1.0,0.0,OK,,FLAG,1.4,0,1,0
03,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-003-narration.wav,narration,"The button worked. The chime worked. The little board worked, lit and patient, …","The button worked. The chime worked. The little board worked, lit, and patient,…",0.9589,,,,195,12.19,12.12,12.12,9.85,OK,0.8126,1.13,False,False,1.028,0.056,OK,,OK,0.94,0,0,0
04,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-004-narration.wav,narration,"The server did not answer. It had not answered, by the firmware log, since a Th…","The server did not answer. It had not answered, by the firmware log, since a Th…",1.0,,,,160,10.0,9.64,9.64,8.52,OK,0.8843,0.81,False,False,1.0,0.0,OK,,OK,0.52,0,0,0
05,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-005-eli.wav,eli,It's fine. That's the problem. It just wants to ask a company that doesn't exis…,It's fine. That's the problem. It just wants to ask a company that doesn't exis…,1.0,,,,118,7.38,6.04,6.04,4.42,SHORT,0.7317,0.6,False,False,1.0,0.0,RETRY,speech too short for its text (real drop),OK,0.0,0,0,0
06,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-006-mason.wav,mason,So can you fix it.,So can you fix it?,1.0,,,,18,1.12,1.12,1.12,1.12,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
07,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-007-eli.wav,eli,I can make it forget it ever had a company.,"I can make it, forget it. Ever had a company?",1.0,,,,43,2.69,3.36,3.36,2.17,OK,0.647,1.19,False,False,1.0,0.0,OK,,FLAG,0.95,0,1,0
08,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-008-narration.wav,narration,"He pulled the board and began the work he had done a thousand times, less repai…","He pulled the board and began the work he had done a thousand times, less repai…",1.0,,,,155,9.69,9.16,9.16,7.67,OK,0.8372,0.58,False,False,1.0,0.0,OK,,FLAG,0.59,0,1,0
09,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-009-eli.wav,eli,"It won't do half what it used to. No app, no chimes you pick, no telling you wh…","It won't do half what it used to. No app, no chimes you pick, no telling you wh…",1.0,,,,171,10.69,10.52,10.52,7.94,OK,0.7551,1.01,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
10,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-010-mason.wav,mason,That's what we want.,That's what we want.,1.0,,,,20,1.25,1.08,1.08,1.08,OK,1.0,0.0,False,False,1.0,0.0,OK,,FLAG,0.0,0,1,0
11,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-011-narration.wav,narration,They wanted the house to know there was somebody at the door. The wanting reduc…,"They wanted the house to know there was somebody at the door. The wanting, redu…",1.0,,,,254,15.88,14.36,14.36,12.26,OK,0.8536,0.76,False,False,1.0,0.0,OK,,FLAG,0.72,0,1,1
13,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-013-narration.wav,narration,Someone is here. Let me know.,"Someone is here, let me know.",1.0,,,,29,1.81,2.2,2.2,1.77,OK,0.8065,0.43,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
14,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-014-narration.wav,narration,"He fixed it, took no money for it, and the boy left.","He fixed it, took no money for it, and the boy left.",1.0,,,,52,3.25,3.44,3.44,3.11,OK,0.9037,0.33,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
16,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-016-narration.wav,narration,"Then it was a thermostat in a canvas bag, a smooth black square that lit up and…","Then it was a thermostat in a canvas bag, a smooth black square that lit up and…",1.0,,,,345,21.56,18.04,18.04,16.93,OK,0.9383,0.45,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
17,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-017-narration.wav,narration,It read the room perfectly. It simply refused to say what it read until it had …,"It read the room perfectly. It simply refused to say what it read, until it had…",1.0,,,,273,17.06,14.44,14.44,11.94,OK,0.8271,0.72,False,False,1.0,0.0,OK,,FLAG,0.76,0,1,0
18,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-018-narration.wav,narration,Then it was a router that could no longer find the home it had been born to.,Then it was a router that could no longer find the home it had been born to.,1.0,,,,76,4.75,4.08,4.08,3.72,OK,0.9111,0.36,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
20,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-020-narration.wav,narration,"He worked through them. The smell of the bench settled over him, warm solder an…","He worked through them. The smell of the bench settled over him, warm solder an…",1.0,,,,316,19.75,18.48,18.48,15.25,OK,0.8252,0.87,False,False,1.0,0.0,OK,,OK,0.61,0,0,0
21,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-021-narration.wav,narration,But the rhyme would not leave him alone. It was the same failure. He kept telli…,but the rhyme would not leave him alone. It was the same failure. He kept telli…,1.0,,,,361,22.56,19.52,19.52,16.91,OK,0.8664,0.67,False,False,1.0,0.0,OK,,OK,0.4,0,0,0
22,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-022-narration.wav,narration,"And it was true, and it was a lie, and somewhere around the third one he stoppe…","And it was true, and it was a lie, and somewhere around the third one he stoppe…",1.0,,,,261,16.31,15.44,15.44,12.15,OK,0.787,0.85,False,False,1.0,0.0,OK,,OK,0.73,0,0,0
23,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-023-narration.wav,narration,Every one sat on his bench refusing to run because somewhere a company had reac…,Everyone sat on his bench refusing to run because somewhere a company had reach…,0.9677,,,,262,16.38,14.72,14.72,13.34,OK,0.906,0.61,False,False,0.979,0.021,OK,,OK,0.22,0,0,0
24,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-024-narration.wav,narration,"Machines waiting for permission. The whole bench of them, lit and warm and usel…","Machines waiting for permission. The whole bench of them, lit and warm and usel…",1.0,,,,138,8.62,8.08,8.08,7.23,OK,0.8951,0.44,False,False,1.0,0.0,OK,,FLAG,0.4,0,1,0
25,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-025-narration.wav,narration,He had the router half-open when the man spoke.,He had the router half open when the man spoke.,1.0,,,,47,2.94,3.12,3.12,2.76,OK,0.8847,0.36,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
26,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-026-narration.wav,narration,"He had forgotten the man was there. Older, sixty maybe, on the stool by the win…","He had forgotten the man was there. Older, 60 maybe, on the stool by the window…",1.0,,,,392,24.5,21.16,21.16,19.0,OK,0.898,0.82,False,False,1.0,0.0,OK,,FLAG,0.4,0,1,0
27,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-027-elder.wav,elder,You're fast at that. I've watched a few do it. You're faster.,You're fast at that. I've watched a few do it. You're faster.,1.0,,,,61,3.81,4.0,4.0,3.38,OK,0.8456,0.32,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
28,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-028-elder.wav,elder,Where'd you learn it? You don't pick that up at one of the programs. That's som…,Where'd you learn it? You don't pick that up at one of the programs. That's som…,1.0,,,,145,9.06,7.32,7.32,7.32,OK,1.0,0.0,False,False,1.0,0.0,OK,,FLAG,0.22,0,1,0
29,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-029-narration.wav,narration,"Eli's hands did not stop. That was what he made sure of, that the connector wen…","Eli's hands did not stop. That was what he made sure of, that the connector wen…",1.0,,,,181,11.31,11.08,11.08,9.76,OK,0.8811,0.86,False,False,1.0,0.0,OK,,OK,0.63,0,0,0
30,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-030-narration.wav,narration,The rest of him went somewhere for half a second. A room with too much light in…,"The rest of him went somewhere for half a second, a room with too much light in…",1.0,,,,118,7.38,7.88,7.88,6.2,OK,0.7863,0.87,False,False,1.0,0.0,OK,,OK,0.52,0,0,0
31,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-031-mentor.wav,mentor,Eli.,Eli.,1.0,,,,4,0.25,0.68,0.68,0.68,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
32,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-032-narration.wav,narration,The sound of a door he had spent six years learning to keep shut.,the sound of a door he had spent six years learning to keep shut.,1.0,,,,65,4.06,3.96,3.96,3.58,OK,0.9053,0.38,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
33,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-033-eli.wav,eli,Around.,around.,1.0,,,,7,0.44,0.76,0.76,0.76,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
34,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-034-narration.wav,narration,He set the router's cover back and turned it so the man could see the small gre…,He set the router's cover back and turned it so the man could see the small gre…,1.0,,,,172,10.75,9.12,9.12,8.37,OK,0.9181,0.43,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
35,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-035-eli.wav,eli,"It's done. Try it tonight. That tablet, I'll see what I can do, but the lock on…","It's done. Try it tonight. That tablet, I'll see what I can do, but the lock on…",0.973,,,,152,9.5,10.08,10.08,6.5,OK,0.6444,1.04,False,False,1.0,0.027,OK,,OK,0.0,0,0,0
36,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-036-narration.wav,narration,"It worked. The man took the out, because most people were polite and could feel…","It worked. The man took the out, because most people were polite and could feel…",1.0,,,,210,13.12,10.96,10.96,9.35,OK,0.8533,1.21,False,False,1.0,0.0,OK,,OK,1.02,0,0,0
37,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-037-narration.wav,narration,The midday notice came in a little after noon.,The midday notice came in a little after noon.,1.0,,,,46,2.88,3.08,3.08,2.68,OK,0.8711,0.4,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
39,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-039-narration.wav,narration,"He felt the phone buzz against the bench and ignored it, and it buzzed again, a…","He felt the phone buzz against the bench and ignored it, and it buzzed again. A…",1.0,,,,207,12.94,10.84,10.84,9.78,OK,0.9026,0.37,False,False,1.0,0.0,OK,,OK,0.26,0,0,0
40,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-040-narration.wav,narration,It was from the power provider. The same clean type. The same small mark of a m…,"It was from the power provider, the same clean type, the same small mark of a m…",1.0,,,,133,8.31,7.92,7.92,6.51,OK,0.8214,0.62,False,False,1.0,0.0,OK,,OK,0.62,0,0,0
41,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-041-notice.wav,notice,Notice of Service Tier Reclassification.,Notice of Service Tier Reclassification,1.0,,,,40,2.5,2.8,2.8,2.49,OK,0.8903,0.31,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
42,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-042-narration.wav,narration,"He read it standing up, in the cold light from the window, the man's locked tab…","He read it standing up, in the cold light from the window, the man's locked tab…",1.0,,,,106,6.62,6.36,6.36,5.4,OK,0.8483,0.32,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
43,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-043-notice.wav,notice,"Following a scheduled review, your service area has been reclassified to a lowe…","Following a scheduled review, your service area has been reclassified to a lowe…",1.0,,,,346,21.62,22.32,22.32,18.68,OK,0.8368,1.0,False,False,1.0,0.0,OK,,OK,1.05,0,0,0
44,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-044-narration.wav,narration,He stood still.,He stood still.,1.0,,,,15,0.94,1.52,1.52,1.52,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
45,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-045-narration.wav,narration,He had known the neighborhood was below the protected zones. Everyone had known…,He had known the neighborhood was below the protected zones. Everyone had known…,0.9048,,,,228,14.25,11.72,11.72,9.86,OK,0.8411,0.69,False,False,0.953,0.07,OK,"note: 3 foreign tokens at high similarity = transcription artifacts, not a fault",FLAG,0.8,0,1,0
46,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-046-narration.wav,narration,"But this was lower. This was the line moved again, to a place where an outage i…","But this was lower. This was the line moved again, to a place where an outage i…",1.0,,,,417,26.06,23.4,23.4,20.87,OK,0.8919,1.06,False,False,1.0,0.0,OK,,FLAG,0.78,0,1,0
47,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-047-narration.wav,narration,And there it was. What the morning had been circling.,And there it was. What the morning had been circling.,1.0,,,,53,3.31,3.76,3.76,2.96,OK,0.7866,0.8,False,False,1.0,0.0,OK,,OK,0.6,0,0,0
48,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-048-narration.wav,narration,"The two lit doors of the dairy case, and the dark length past them. That was wh…","The two lit doors of the dairy case, and the dark length passed them. That was …",0.9828,,,,301,18.81,16.76,16.76,13.21,OK,0.7881,0.96,False,False,1.0,0.017,OK,,OK,0.72,0,0,0
49,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-049-narration.wav,narration,"They were one shape. A series of companies, each in its own building, had decid…","They were one shape. A series of companies, each in its own building, had decid…",1.0,,,,207,12.94,11.64,11.64,10.26,OK,0.881,0.6,False,False,1.0,0.0,OK,,OK,0.12,0,0,0
50,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-050-narration.wav,narration,"Everything physical was exactly where it had been, working, ready, waiting. Des…","Everything physical was exactly where it had been, working, ready, waiting. Des…",1.0,,,,293,18.31,16.44,16.44,14.63,OK,0.8896,0.77,False,False,1.0,0.0,OK,,OK,0.98,0,0,0
52,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-052-narration.wav,narration,"He set the phone down and looked at the crowded bench, the lit machines waiting…","He set the phone down and looked at the crowded bench, the lit machines waiting…",0.96,,,,196,12.25,10.84,10.84,8.95,OK,0.8257,0.5,False,False,1.027,0.054,OK,,OK,0.44,0,0,0
53,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-053-narration.wav,narration,"He saw the reach behind it all, himself in the middle with a screwdriver, worki…","He saw the reach behind it all, himself in the middle with a screwdriver, worki…",1.0,,,,344,21.5,19.12,19.12,16.73,OK,0.875,0.81,False,False,1.0,0.0,OK,,OK,0.56,0,0,0
54,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-054-narration.wav,narration,"The old man rose from the stool by the window, gathered his still-locked tablet…","The old man rose from the stool by the window, gathered his still-locked tablet…",1.0,,,,168,10.5,9.36,9.36,8.26,OK,0.8824,0.45,False,False,1.0,0.0,OK,,OK,0.1,0,0,0
56,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-056-narration.wav,narration,Eli was still standing there when the mesh chimed.,Eli was still standing there when the mesh chimed.,1.0,,,,50,3.12,2.84,2.84,2.84,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
58,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-058-narration.wav,narration,"It was not the broadcast pulse. It was a single message, direct, addressed to h…","It was not the broadcast pulse. It was a single message, direct, addressed to h…",1.0,,,,276,17.25,16.48,16.48,14.18,OK,0.8605,0.54,False,False,1.0,0.0,OK,,FLAG,0.42,0,1,0
59,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-059-narration.wav,narration,It was Lena.,It was Lena.,1.0,,,,12,0.75,1.04,1.04,1.04,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
